"action_allow","Zezwól"
"ctrl_Animals","Zwierzęta"
"ctrl_RotateLeft","Obróć budowę w lewo"
"ctrl_RotateRight","Obróć budowę w prawo"
"ctrl_RtsFastMove","Szybki ruch kamery"
"ctrl_Schedule","Rozkład zajęć"
"ctrl_ShowHideAlmanac","Almanach"
"ctrl_ShowHideRoofs","Dachy: Pokaż/Ukryj"
"ctrl_ShowHideRooms","Pomieszczenia: Pokaż/Ukryj"
"ctrl_Stockpile","Skład"
"ctrl_TiltDown","Przechyl widok w dół"
"ctrl_TiltUp","Przechyl widok w górę"
"ctrl_ToggleForbid","Zabroń/Zezwól"
"ctrl_Defense","Obronność"
"ctrl_Zone","Strefa"
"ctrl_ZoomIn","Przybliż widok"
"ctrl_ZoomOut","Oddal widok"
"ctrl_ShrinkZone","Zmniejsz strefę"
"ctrl_ExpandZone","Zwiększ strefę"
"ctrl_CopyBuilding","Kopiuj"
"ctrl_Manage","Zarządzanie"
"ctrl_installbuilding","Umieść"
"ctrl_uninstallbuilding","Usuń"
"ctrl_movebuilding","Przesuń"
"keycode_A","A"
"keycode_B","B"
"keycode_C","C"
"keycode_D","D"
"keycode_E","E"
"keycode_F","F"
"keycode_G","G"
"keycode_H","H"
"keycode_I","I"
"keycode_J","J"
"keycode_K","K"
"keycode_L","L"
"keycode_M","M"
"keycode_N","N"
"keycode_O","O"
"keycode_P","P"
"keycode_Q","Q"
"keycode_R","R"
"keycode_S","S"
"keycode_T","T"
"keycode_U","U"
"keycode_V","V"
"keycode_W","W"
"keycode_X","X"
"keycode_Y","Y"
"keycode_Z","Z"
"keycode_Alpha0","0"
"keycode_Alpha1","1"
"keycode_Alpha2","2"
"keycode_Alpha3","3"
"keycode_Alpha4","4"
"keycode_Alpha5","5"
"keycode_Alpha6","6"
"keycode_Alpha7","7"
"keycode_Alpha8","8"
"keycode_Alpha9","9"
"keycode_BackQuote","`"
"keycode_Backslash","\"
"keycode_Backspace","Backspace"
"keycode_CapsLock","Caps Lock"
"keycode_Clear","Clear"
"keycode_Comma",","
"keycode_Delete","Delete"
"keycode_End","End"
"keycode_Equals","="
"keycode_Escape","Esc"
"keycode_F1","F1"
"keycode_F2","F2"
"keycode_F3","F3"
"keycode_F4","F4"
"keycode_F5","F5"
"keycode_F6","F6"
"keycode_F7","F7"
"keycode_F8","F8"
"keycode_F9","F9"
"keycode_F10","F10"
"keycode_F11","F11"
"keycode_F12","F12"
"keycode_F13","F13"
"keycode_F14","F14"
"keycode_F15","F15"
"keycode_Home","Home"
"keycode_Insert","Insert"
"keycode_Keypad0","0 (klawiatura numeryczna)"
"keycode_Keypad1","1 (klawiatura numeryczna)"
"keycode_Keypad2","2 (klawiatura numeryczna)"
"keycode_Keypad3","3 (klawiatura numeryczna)"
"keycode_Keypad4","4 (klawiatura numeryczna)"
"keycode_Keypad5","5 (klawiatura numeryczna)"
"keycode_Keypad6","6 (klawiatura numeryczna)"
"keycode_Keypad7","7 (klawiatura numeryczna)"
"keycode_Keypad8","8 (klawiatura numeryczna)"
"keycode_Keypad9","9 (klawiatura numeryczna)"
"keycode_KeypadDivide","/ (klawiatura numeryczna)"
"keycode_KeypadEnter","Enter (klawiatura numeryczna)"
"keycode_KeypadMinus","- (klawiatura numeryczna)"
"keycode_KeypadMultiply","* (klawiatura numeryczna)"
"keycode_KeypadPeriod",". (klawiatura numeryczna)"
"keycode_KeypadPlus","+ (klawiatura numeryczna)"
"keycode_Minus",""
"keycode_Mouse2","Przycisk myszy 3"
"keycode_Mouse3","Przycisk myszy 4"
"keycode_Mouse4","Przycisk myszy 5"
"keycode_Mouse5","Przycisk myszy 6"
"keycode_Mouse6","Przycisk myszy 7"
"keycode_None","Brak"
"keycode_Numlock","Numlock"
"keycode_PageDown","Page Down"
"keycode_PageUp","Page Up"
"keycode_Pause","Pause"
"keycode_Period","."
"keycode_Quote","'"
"keycode_Return","Return"
"keycode_RightAlt","Prawy Alt"
"keycode_RightBracket","]"
"keycode_RightControl","Prawy Ctrl"
"keycode_RightShift","Prawy Shift"
"keycode_LeftAlt","Lewy Alt"
"keycode_LeftBracket","["
"keycode_LeftControl","Lewy Ctrl"
"keycode_LeftShift","Lewy Shift"
"keycode_ScrollLock","Scroll Lock"
"keycode_Semicolon",";"
"keycode_Slash","/"
"keycode_Space","Spacja"
"keycode_Tab","Tab"
"keycode_UpArrow","Strzałka w górę"
"keycode_RightArrow","Strzałka w prawo"
"keycode_LeftArrow","Strzałka w lewo"
"keycode_DownArrow","Strzałka w dół"
"ingame_menu_back","Powrót"
"ingame_menu_delete","Usuń"
"ingame_menu_keyboard_configuration","Konfiguracja klawiatury"
"ingame_menu_main","Wyjdź do głównego menu"
"ingame_menu_options","Opcje"
"ingame_menu_override","Zastąp"
"ingame_menu_quit","Wyjdź z gry"
"ingame_menu_resume","Wznów"
"ingame_menu_save","Zapisz"
"menu_language","Język"
"menu_language_Chinese","简体中文"
"menu_language_French","Français"
"menu_language_German","Deutsch"
"menu_language_Spanish","Español"
"menu_language_Russian","Русский"
"menu_language_Japanese","日本語"
"menu_language_Portuguese","Português brasileiro"
"menu_language_English","English"
"menu_language_Korean","한국어"
"menu_language_Polish","Polski"
"menu_language_Turkish","Türkçe"
"menu_load","Wczytaj"
"menu_main_menu","Główne menu"
"menu_options","Opcje"
"menu_quit","Wyjście"
"screen_settings_description","Czy chcesz zachować te ustawienia?"
"autosave_never","Nigdy"
"autosave_often","Codziennie"
"autosave_rarely","Co 7 dni"
"autosave_sometimes","Co 3 dni"
"menu_map_seed","Losowe ziarno"
"menu_map_seed_placeholder","Wpisz dowolny tekst"
"menu_mirror_horizontal","Odwróć X"
"menu_mirror_vertical","Odwróć Y"
"menu_new_game","Nowa gra"
"menu_patterns","Wzory"
"menu_randomise","Losowo"
"menu_rotate","Obrót"
"menu_saturation","Nasycenie"
"menu_scale","Skala"
"menu_scenario","Scenariusz"
"menu_starting_conditions","Warunki początkowe"
"menu_summary","Podsumowanie"
"menu_shapes","Kształty"
"menu_symbols","Symbole"
"menu_transform","Zmień"
"menu_translate_x","Przesuń X"
"menu_translate_y","Przesuń Y"
"menu_village_name","Nazwa osady"
"menu_worker_name_placeholder","Wpisz dowolną nazwę"
"menu_workers","Osadnicy"
"delete_save_prompt","Chcesz usunąć zapis?"
"delete_folder_prompt","Chcesz usunąć folder zapisu osady?"
"quit_game_prompt_info","Na pewno?"
"quit_prompt_info","Na pewno? Wszystkie niezapisane postępy zostaną utracone."
"save_preset","Zapisz jako ustawienie wstępne"
"scenario_game_difficulty","Trudność"
"scenario_game_mode","Tryb gry"
"scenario_map_size","Rozmiar mapy"
"scenario_map_type","Typ mapy"
"scenario_starting_villagers","Osadnicy"
"scenario_title","Scenariusz"
"ui_cancel","Anuluj"
"ui_keep","Zachowaj"
"made_by","Autor:"
"heraldry_background","Tło"
"heraldry_pattern","Wzór"
"heraldry_symbol_a","Symbol A"
"heraldry_symbol_b","Symbol B"
"heraldry_symbol_c","Symbol C"
"heraldry_symbol_d","Symbol D"
"heraldry_symbol_custom","Własny"
"custom_heraldry_info","Wklej swój własny obraz w formacie .png w:<br/><b>\StreamingAssets\HeraldryCustomSymbols</b><br/>Pojawi się on na liście niestandardowych symboli."
"heraldry_missing_custom_symbol","Niektóre niestandardowe obrazy zostały usunięte. W twoim znaku herbowym może brakować zastosowanych obrazów niestandardowych."
"heraldry_title","Herb"
"characters_creation","Osadnicy"
"autosave_inprogress","Automatyczne zapisywanie..."
"default_size","Mała"
"difficulty_builder","Budowniczy"
"difficulty_standard","Normalny"
"general_change_keybinding","Naciśnij dowolny klawisz lub Esc, aby anulować"
"general_click_to_change_key","Kliknij, aby zmienić klawisz"
"load_preset","Wczytaj ustawienie początkowe"
"map_size_large","Duża"
"map_size_medium","Średnia"
"map_size_small","Mała"
"map_type_debug","Debug"
"map_type_desert","Pustynia"
"map_type_dev","Mapa testowa"
"map_type_new_home","Nowy dom"
"menu_color","Kolor"
"menu_starting_characters","Postacie początkowe"
"menu_heraldry","Herb"
"menu_hue","Odcień"
"most_skilled","Najlepsza umiejętność:"
"most_passionate","Największa pasja:"
"no_skilled_worker","Brak osadników z umiejętnością:"
"general_embark","Rozpocznij"
"group_skills","Umiejętności grupy"
"general_refresh","Odśwież"
"credits_SeniorProducer","Starszy producent"
"credits_Producer","Producent"
"credits_SeniorDesigner","Starszy projektant"
"credits_SeniorMarketingManager","Starszy menadżer ds. marketingu"
"credits_PRManager","Menadżer ds. PR"
"credits_PerformanceMarketingManager","Menadżer ds. marketingu efektywnościowego"
"credits_SeniorCommunityandSocial Manager","Starszy menadżer ds. społecznościowych"
"credits_ChiefGamesOfficer","Dyrektor ds. rozwoju technicznego gry"
"credits_PublishingDirector","Dyrektor ds. wydawniczych"
"credits_DesignDirector","Dyrektor ds. projektu"
"credits_TechnicalDirector","Dyrektor techniczny"
"credits_OperationsDirector","Dyrektor ds. operacyjnych"
"credits_FranchiseDirector","Dyrektor ds. franczyzy"
"credits_AdditionalExpertSupport","Dodatkowe wsparcie eksperckie"
"credits_TICAlumni","Byli pracownicy TIC"
"credits_TonicGamesGroup","Tonic Games Group"
"credits_Localisation","Lokalizacja"
"credits_QualityAssurance","Kontrola jakości"
"credits_PRSupport","Wsparcie PR"
"credits_AdditionalArt","Dodatkowa grafika"
"credits_AdditionalHelp","Dodatkowa pomoc"
"credits_AdditionalDevelopment","Dodatkowe prace rozwojowe"
"credits_WritingNarativeDesign","Teksty i narracja"
"credits_SpecialThanks","Specjalne podziękowania"
"credits_CommunityContributors","Pomocnicy w ramach społeczności"
"credits_AlphabeticalOrder","Porządek alfabetyczny"
"credits_QAManager","Kierownik kontroli jakości"
"credits_QAProjectManager","Kierownik projektu kontroli jakości"
"credits_QATestLead","Kierownik testów kontroli jakości"
"credits_QATester","Tester kontroli jakości"
"options_ui_size_Smallest","Najmniejszy"
"options_ui_size_Small","Mały"
"options_ui_size_Normal","Zwykły"
"options_ui_size_Large","Duży"
"options_ui_size_Largest","Największy"
"keybinding_group_Camera","Kamera"
"keybinding_group_Gameplay","Rozgrywka"
"keybinding_group_Villagers","Osadnicy"
"keybinding_group_Construction","Budowa"
"keybinding_group_Misc","Różne"
"options_graphics","Grafika"
"options_audio","Dźwięk"
"options_game","Gra"
"options_credits","Autorzy"
"options_visibleInBackground","Widoczność w tle"
"options_shadowQuality","Jakość cieni"
"options_softParticles","Efekty cząsteczkowe"
"options_antiAliasing","Antyaliasing"
"options_enviroment_footprints","Odciski stóp"
"options_enviroment_footprints_info","Ludzie i zwierzęta pozostawiają ślady na ziemi i wzniecają chmury pyłu."
"options_enviroment_birds","Stada ptaków"
"options_enviroment_birds_info","Stada dzikich ptaków fruwają nad osadą, wokół zwłok oraz ściętych drzew. Brak wpływu na ptactwo domowe (np. kury)."
"options_enviroment_particles","Elementy otoczenia"
"options_enviroment_particles_info","Elementy otoczenia, takie jak liście i gałązki, spadają ze ściętych drzew, a wiatr niesie ze sobą chmury pyłu. Brak wpływu na efekty pogodowe (np. deszcz i mgła)."
"options_motionBlur","Rozmycie ruchu"
"options_ambientOcclusion","Okluzja otoczenia"
"options_bloom","Bloom"
"general_full","Pełne"
"general_half","Połowa"
"general_off","Wył."
"general_low","Niskie"
"general_medium","Średnie"
"general_high","Wysokie"
"general_veryHigh","Bardzo wysokie"
"options_vSync_everyBlock","Każdy obszar"
"options_vSync_everySecondBlock","Co drugi obszar"
"options_sun_shafts","Promienie słoneczne"
"options_aa_FXAA","FXAA"
"options_aa_SMAA_low","Niskie SMAA"
"options_aa_SMAA_medium","Średnie SMAA"
"options_aa_SMAA_high","Wysokie SMAA"
"options_FrameRate","Limit klatek na sekundę"
"save_file_already_exists","Plik zapisu o tej nazwie już istnieje"
"menu_roadmap","Mapa drogowa"
"menu_patchnotes","Zawartość aktualizacji"
"early_acces_note","Witamy w Going Medieval. Dziękujemy za wsparcie.<br/>Zwracamy uwagę, że jesteśmy wciąż w trakcie prac nad grą, dlatego niektóre jej elementy nie są jeszcze ukończone. Zapewniamy, że zamierzamy regularnie aktualizować zawartość, dodawać nowe elementy, a także podnosić jakość rozgrywki. W wypadku natrafienia na błędy prosimy o kontakt na naszym serwerze Discord albo wysłanie zgłoszenia bezpośrednio w grze za pomocą wbudowanego narzędzia."
"roadmap_planed_updates","Planowane aktualizacje"
"roadmap_01","Handel i kupcy"
"roadmap_02","Karawany"
"roadmap_03","Dyplomacja osady"
"roadmap_04","Interakcje społeczne osadników"
"roadmap_05","Wpływy religijne"
"roadmap_06","Ogień i łatwopalność"
"roadmap_07","Duże ilości śniegu"
"roadmap_08","Naturalne ścieżki"
"roadmap_09","Broń oblężnicza"
"roadmap_11","Najazdy na inne osady"
"roadmap_12","System wasalny"
"roadmap_13","Frakcje na mapie"
"roadmap_14","System więźniów"
"roadmap_15","Walka z siłami przyrody"
"roadmap_16","Hodowla zwierząt"
"roadmap_17","Wielkie cele"
"roadmap_18","Naturalne jaskinie"
"roadmap_19","Ruiny"
"roadmap_23","Półki i stojaki na broń"
"roadmap_24","Więcej budowli"
"roadmap_25","Więcej muzyki"
"roadmap_26","Więcej typów map"
"roadmap_27","Więcej zasobów"
"roadmap_28","Więcej machin oblężniczych"
"roadmap_29","Więcej obiektów badań"
"roadmap_30","Kolejne interesujące udoskonalenia"
"menu_changelog","Lista zmian"
"menu_new_update","Nowe elementy w aktualizacji"
"update_01_name","Aktualizacja półek i stojaków"
"update_02_name","Wymiana towarów i dyplomacja"
"update_02_name_alt","Handel i dyplomacja"
"update_02_name_alt2","Handlarze i dyplomacja"
"update_03_name","Zwierzęta i pupile"
"update_05_name","Handel zwierzętami"
"update_06_name","Tworzenie terenu i koty"
"update_07_name","Piękno i komfort"
"update_08_name","Interakcje społeczne"
"update_09_name_old","System drabinkowy"
"update_09_name","Zmiana efektów środowiskowych"
"update_095_capsule","Handel wymienny z użyciem monet"
"update_10_name","Woda i rybołówstwo"
"update_11_name","Role i wydarzenia"
"update_11_capsule","Bardowie i uczty"
"update_entry_20","Nowy system szukania drogi"
"update_entry_21","Fermentacja"
"update_entry_22","Wieszanie trofeów"
"update_entry_23","Zagroda dla zwierząt"
"update_entry_24","Zwierzęta początkowe"
"update_entry_25","Zwierzęta w karawanach"
"update_entry_26","Sakwa na żywność"
"update_entry_27","Nowy obiekt: Znak"
"update_entry_28","Trudność niestandardowa"
"update_entry_29","Drapieżniki"
"update_entry_30","Tępienie szkodników"
"update_entry_31","Nowe zwierzęta"
"update_entry_32","KOTY"
"update_entry_33","Tworzenie terenu"
"update_entry_34","Wartość estetyczna"
"update_entry_35","Komfort"
"update_entry_36","Rzeźby"
"update_entry_37","Obrazy"
"update_entry_38","Dywany"
"update_entry_39","Imponujący charakter komnaty"
"update_entry_40","Przydział łóżek"
"update_entry_41","Osobne komnaty"
"update_entry_42","Infirmeria"
"update_entry_43","Łóżko szpitalne"
"update_entry_44","System uczuć"
"update_entry_45","Pogawędki osadników"
"update_entry_46","Interakcje społeczne"
"update_entry_47","Dziennik poszczególnych czynności"
"update_entry_48","System drabinkowy"
"update_entry_49","Edycja większej liczby półek"
"update_entry_50","Zmiany w karmieniu zwierząt"
"update_entry_51","Światło słoneczne"
"update_entry_52","Rośliny karłowate"
"update_entry_53","Zmiana efektów temperatury"
"update_entry_54","Nowy cykl dnia i nocy"
"update_entry_55","Akumulacja kałuż"
"update_entry_56","Duże ilości śniegu"
"update_entry_57","Zmienione opatrywanie ran"
"update_entry_58","Stada ptaków"
"update_entry_59","Ochrona przed drapieżnikami"
"update_entry_60","Rzeki i sadzawki"
"update_entry_61","Wodospady"
"update_entry_62","Nowy typ mapy: Bagna"
"update_entry_63","Ryby i węgorze"
"update_entry_64","System roli osadników"
"update_entry_65","Bardowie, druidzi i kapelanowie"
"update_entry_66","Uczta, eucharystia i rytuał"
"update_entry_67","Preferencje zajęcia"
"update_entry_68","Żądanie haraczu"
"update_entry_69","Negocjacje w sprawie zbiegów"
"update_entry_70","System aktualności"
"update_entry_71","Nowe zajęcia osadników"
"update_entry_72","Nowe umiejętności osadników"
"update_entry_11","Odmiany obiektów"
"update_entry_12","Nasiona i sadzonki"
"update_entry_13","Bloki lodu"
"update_entry_14","Pszczelarstwo"
"update_entry_15","Sady"
"update_entry_16","Nowe surowce"
"update_entry_17","Uzupełnianie źródła ciepła"
"update_entry_18","Nowe uzbrojenie frakcji"
"update_entry_19","Nowe ścieżki muzyczne"
"update_entry_01","Półki i stojaki na broń"
"update_entry_02","Większe mapy"
"update_entry_03","Priorytet składu"
"update_entry_04","Zrównoważenie temperatury"
"update_entry_05","Zmiany i balans trebusza"
"update_entry_06","Udoskonalenia rozgrywki"
"update_entry_07","Nowe obiekty ozdobne"
"update_entry_08","Stabilność i optymalizacja"
"update_entry_09","Przesuwanie obiektów"
"update_entry_10","Personalizacja postaci"
"options_playlist_pause","Nieprzerwana muzyka"
"options_runInbackground","Działanie w tle"
"options_sendAutoReport","Wysyłanie raportów o awariach"
"difficulty_option_raidPointsMultiplier_title","Mnożnik siły wydarzenia"
"difficulty_option_raidPointsMultiplier_info","Określa liczbę punktów wykorzystywanych podczas wydarzeń, takich jak zaraza zbożowa czy najazd. Powyższe punkty odpowiadają liczbie i intensywności tych wydarzeń."
"difficulty_option_woundSeverityMultiplier_title","Mnożnik dotkliwości ran"
"difficulty_option_woundSeverityMultiplier_info","Określa dotkliwość ran zadawanych osadnikom. Mniej poważne rany mają niższy wpływ na atrybuty i łatwiej się goją."
"difficulty_option_animalSpawnMultiplier_title","Mnożnik tempa odradzania się zwierząt"
"difficulty_option_animalSpawnMultiplier_info","Określa szybkość odradzania się nowych zwierząt na mapie."
"difficulty_option_plantYieldMultiplier_title","Mnożnik zbiorów roślinnych"
"difficulty_option_plantYieldMultiplier_info","Mnożnik podstawowej wartości zasobów roślinnych pozyskiwanych podczas zbiorów."
"difficulty_option_mineYieldMultiplier_title","Mnożnik urobku kopalni"
"difficulty_option_mineYieldMultiplier_info","Mnożnik podstawowej wartości zasobów pozyskiwanych podczas wydobycia prowadzonego na określonym polu."
"difficulty_option_moodTarget_title","Wskaźnik nastroju osadników"
"difficulty_option_moodTarget_info","Podstawowy wskaźnik nastroju osadników. Jeżeli jest niższy, osadnicy będą częściej się buntować. Domyślna wartość wynosi 50 punktów."
"difficulty_option_enemyHPMax_title","Punkty zdrowia przeciwników"
"difficulty_option_enemyHPMax_info","Maksymalna liczba punktów zdrowia przeciwników. Zmiana tej wartości podczas rozgrywki wpłynie tylko na wrogów, którzy dopiero pojawią się na mapie, a nie na tych, którzy już tam się znajdują."
"difficulty_option_healthRecoverySpeed_title","Regeneracja PZ"
"difficulty_option_healthRecoverySpeed_info","Odzyskiwanie zdrowia: podstawowe tempo regeneracji PZ +/- mnożniki."
"difficulty_option_rottingSpeed_title","Szybkość gnicia"
"difficulty_option_rottingSpeed_info","Określa, jak szybko surowa żywność będzie tracić swoją świeżość."
"difficulty_option_decomposeSpeed_title","Szybkość psucia"
"difficulty_option_decomposeSpeed_info","Określa, jak szybko zasoby będą tracić punkty zdrowia z powodów czynników środowiskowych, takich jak deszcz i temperatura."
"difficulty_option_tradingValue_title","Wartość wymiany"
"difficulty_option_tradingValue_info","Zmienia oferowaną wartość towaru o XX%."
"difficulty_option_huntingRetailateChance_title","Szansa odwetu zwierzyny"
"difficulty_option_huntingRetailateChance_info","Szansa, że zwierzyna będzie walczyć."
"difficulty_option_globalWorkSpeed_title","Ogólna szybkość pracy"
"difficulty_option_globalWorkSpeed_info","Mnożnik zwiększający szybkość wszystkich działań związanych z pracą."
"difficulty_option_thundertstormEvent_title","Burza z piorunami"
"difficulty_option_thundertstormEvent_info","Umożliwia pojawienie się tego wydarzenia podczas rozgrywki."
"difficulty_option_blightEvent_title","Zaraza zbożowa"
"difficulty_option_blightEvent_info","Umożliwia pojawienie się tego wydarzenia podczas rozgrywki."
"difficulty_option_animalRaidEvent_title","Dzikie zwierzęta"
"difficulty_option_animalRaidEvent_info","Umożliwia pojawienie się tego wydarzenia podczas rozgrywki."
"difficulty_option_animalDomesticSingleEvent_title","Zwierzęta domowe"
"difficulty_option_animalDomesticSingleEvent_info","Od czasu do czasu na mapie będą mogły pojawiać się zwierzęta domowe."
"difficulty_option_hailstormEvent_title","Gradobicie"
"difficulty_option_hailstormEvent_info","Umożliwia pojawienie się tego wydarzenia podczas rozgrywki."
"difficulty_option_coldsnapEvent_title","Atak mrozu"
"difficulty_option_coldsnapEvent_info","Umożliwia pojawienie się tego wydarzenia podczas rozgrywki."
"difficulty_option_heatwaveEvent_title","Fala upałów"
"difficulty_option_heatwaveEvent_info","Umożliwia pojawienie się tego wydarzenia podczas rozgrywki."
"difficulty_option_enemyRaidEvent_title","Najazdy wrogów"
"difficulty_option_enemyRaidEvent_info","Ta opcja umożliwia występowanie losowych najazdów podczas rozgrywki (w trybie Pokój nie ma zastosowania, ponieważ nie dochodzi w nim do najazdów)."
"difficulty_option_useSeeds_title","Korzystanie z nasion"
"difficulty_option_useSeeds_info","Korzystaj z nasion podczas zasiewów. Zalecane jest włączenie tej funkcji. Jeżeli postanowisz ją wyłączyć, niewykorzystane nasiona będą widoczne na mapie: osadnicy przechodzą procedurę zasiewów w miejscach oznaczonych jako pola uprawne, gdzie rośliny rosną automatycznie. Nasiona są konieczne do odblokowania pola uprawnego."
"difficulty_option_enemiesHaveTrebuchet_title","Wrogowie wyposażeni w trebusze"
"difficulty_option_enemiesHaveTrebuchet_info","Aktywowanie tej opcji wyłącza pojawianie się podczas regularnych najazdów wrogów z trebuszami. Należy pamiętać, że podczas oblężeń wrogowie nadal będą mogli dysponować trebuszami. Jeżeli nie będą mogli znaleźć otwartej drogi z punktu rozmieszczenia do wrót twojej fortecy, SI uzna ją za obiekt trudny do zdobycia i rozmieści wersję oblężniczą, która jest zawsze wyposażona w trebusze."
"save_load_fail","Osady zapisane w wersji gry <save_modified_version> nie będą działać w wersji <valid_save_version> (oraz w kolejnych). Aby korzystać z większości nowych funkcji, należy założyć nową osadę. Można również skorzystać z opcji użycia wcześniejszej wersji gry w celu kontynuacji rozgrywki w tej osadzie."
"options_camera_target_visuals","Znaczniki wizualne obiektu kamery"
"options_camera_target_visuals_info","Następuje aktywacja znaczników wizualnych przedstawiających obiekt w kamerze. Pojawiają się tylko wtedy, gdy kamera porusza się/przybliża widok/krąży."
"options_camera_target_visuals_duration","Czas trwania znaczników wizualnych obiektów kamery"
"options_camera_target_visuals_duration_info","Długość czasu, gdy znaczniki wizualne obiektu pozostają na ekranie po zakończeniu czynności kamery."
"options_coyote_time","Czas kojota"
"options_coyote_time_info","Długość czasu, kiedy obiekt w kamerze pozostaje w powietrzu po upadku z urwiska. Jeżeli włączone są znaczniki obiektu, pojawia się biała linia prowadząca od znacznika do następnej warstwy po przesunięciu kamery."
"options_camera_offset_by_buildings","Przesunięcie kamery ze względu na budynki"
"options_camera_offset_by_buildings_info","Włącza funkcję przesunięcia widoku kamery do góry razem z terenem i wodą ze względu na podłogi i ściany."
"options_camera_settings","Ustawienia kamery"
"ingame_menu_camera_settings","Ustawienia kamery"
"options_legacy_camera","Tryb pierwotny"
"options_legacy_camera_info","Włącza tryb, w którym kamera funkcjonowała w pierwotnej wersji gry. Jego uruchomienie wyłącza wszystkie wprowadzone później funkcje kamery."
"resource_holder_info_barley_patch","Uniwersalne zboże na chleb, kaszę lub orzeźwiającą wodę jęczmienną. Można tuczyć nim drób."
"resource_holder_info_wild_barley_patch","Uniwersalne zboże na chleb, kaszę lub orzeźwiającą wodę jęczmienną. Można tuczyć nim drób."
"resource_holder_info_beet_patch","Roślina odporna na chłody i łatwa do sadzenia w każdym ogrodzie."
"resource_holder_info_cabbage_patch","Proste warzywo i podstawowe pożywienie. W razie konieczności gotować i podawać z masłem."
"resource_holder_info_carrot_patch","Barwny korzeń o doskonałym smaku. Marchew można również składować do późniejszego wykorzystania."
"resource_holder_info_dig_marker_clay","Drobnoziarnista, bogata w minerały ziemia, która klei się do butów. Jeden z najstarszych materiałów budowlanych."
"resource_holder_info_dig_marker_empty","Dobra gleba jest niczym czarne złoto."
"resource_holder_name_dig_marker_coal","Pokłady węgla"
"resource_holder_info_dig_marker_coal","Czarne mineralne pozostałości roślin zakopanych od niepamiętnych czasów. Węgiel dobrze pali się w palenisku i kuźni."
"resource_holder_info_dig_marker_gold","Skarb zakopany pod ziemią. Plastyczny i niezniszczalny metal do bicia monet. Może również posłużyć jako materiał do wykucia korony."
"resource_holder_info_dig_marker_iron","Bogata w żelazo ruda, która zapewnia metal do wykorzystania w kuźni."
"resource_holder_info_dig_marker_limestone","Budulec powstały z milionów żyjących przed wiekami stworzeń morskich. Można go również wykorzystać do produkcji wapna palonego."
"resource_holder_info_dig_marker_salt","Cenna sól do konserwowania żywności to prawdziwy fundament istnienia cywilizacji."
"resource_holder_info_dig_marker_silver","Żyła wartościowego, delikatnego metalu, z którego można wytwarzać monety lub biżuterię."
"resource_holder_info_wild_flax_patch","Piękna i mająca wiele zastosowań roślina z niebieskimi kwiatami. Jej nasiona są jadalne, a łodyga służy do wytwarzania płótna."
"resource_holder_info_flax_patch","Piękna i mająca wiele zastosowań roślina z niebieskimi kwiatami. Jej nasiona są jadalne, a łodyga służy do wytwarzania płótna."
"resource_holder_info_hay_patch","Trawa rośnie szybko, a smagana wiatrem faluje piękną zielenią. Ścinaj ją, aby uzyskać słomę dla zwierząt albo na posłanie."
"resource_holder_info_herbs_patch","Rośliny mające wiele rozmaitych zastosowań, poczynając od przyprawiania posiłków po lecznictwo, warzenie piwa i farbiarstwo."
"resource_holder_info_mushroom_patch","Grzyby rosnące na polach i w lasach. Wiele gatunków jest jadalnych, a niektóre nawet są smaczne."
"resource_holder_info_shrub_generic","Krzew. Można pozyskać z niego drewno, ale będzie go bardzo niewiele."
"resource_holder_info_shrub_ivy","Mocny bluszcz pnie się na drzewach, murach i ogrodzeniach. Jego mocny uścisk może je osłabić."
"resource_holder_info_shrub_redcurrant","Roślina, która rośnie wszędzie i rodzi rubinowoczerwone owoce o cierpkim smaku."
"resource_holder_info_tree_birch","Brzoza to drzewo odnowy, którego drewno pali się nawet wtedy, gdy jest mokre. Jest idealne do wędzenia i używa się go również w farbiarstwie i lecznictwie."
"resource_holder_info_tree_oak","Król lasu i święte drzewo druidów. Dobry materiał dla rzeźbiarzy oraz do budowy domów."
"resource_holder_info_tree_pine","Największe kaledońskie drzewo. Proste, strzeliste i elastyczne, dzięki czemu nadaje się na maszty i deski. Sieje się je dla upamiętnienia mogił wędrownych Szkotów."
"resource_holder_info_tree_plane","Omieć dziecko gałązką klonu, a usuniesz wszelkie ślady czarnej magii. Jego drewno jest twarde i doskonale nadaje się na instrumenty muzyczne."
"resource_holder_name_wild_barley_patch","Jęczmień (rosnący dziko)"
"resource_holder_name_barley_patch","Jęczmień"
"resource_holder_name_beet_patch","Buraki"
"resource_holder_name_cabbage_patch","Kapusta"
"resource_holder_name_carrot_patch","Marchew"
"resource_holder_name_dig_marker_rocky","Kamienista gleba"
"resource_holder_info_dig_marker_rocky","Dobra gleba jest niczym czarne złoto. Czasami jednak trzeba zadowolić się podłożem, które jest kamieniste."
"resource_holder_name_dig_marker_clay","Glina"
"resource_holder_name_dig_marker_empty","Piach"
"resource_holder_name_dig_marker_gold","Żyła złota"
"resource_holder_name_dig_marker_granite","Granit"
"resource_holder_name_dig_marker_iron","Złoże rudy żelaza"
"resource_holder_name_dig_marker_limestone","Złoże wapienia"
"resource_holder_name_dig_marker_impurelimestone","Złoże wapienia (zanieczyszczone)"
"resource_holder_name_dig_marker_salt","Złoże soli"
"resource_holder_name_dig_marker_sand","Pokłady piasku"
"resource_holder_name_dig_marker_silver","Żyła srebra"
